year,region,crop_type,rainfall_mm,temperature_celsius,fertilizer_kg_per_ha,pesticide_kg_per_ha,farm_size_ha,soil_type,elevation_m,irrigation,yield_kg_per_ha
2021,Eastern,Beans,424.7,30.4,16.2,2.96,2.1,sandy,1143,1,213.7
2009,Eastern,Coffee,705.8,24.6,49.6,2.73,2.18,sandy,1037,0,228.7
2022,Central,Sorghum,1261.6,13.6,13.0,3.61,1.52,volcanic,1655,1,350.7
2004,Coast,Tea,1154.2,28.4,47.0,3.23,2.1,loam,83,0,1280.7
2009,Rift Valley,Coffee,804.5,16.5,37.4,1.66,0.17,volcanic,2560,1,1376.7
2014,Eastern,Wheat,614.2,29.2,72.8,0.0,2.02,clay,594,0,560.9
2019,Rift Valley,Tea,758.8,20.5,22.8,0.88,0.59,loam,1658,1,8087.4
2018,Central,Sorghum,1315.9,17.7,43.9,1.97,1.71,volcanic,2421,1,526.8
2015,Coast,Tea,512.3,23.0,45.9,2.71,1.11,sandy,328,1,1177.6
2015,Western,Beans,1389.2,23.4,44.0,0.0,1.82,loam,1346,1,811.4
2010,Eastern,Maize,383.3,24.7,50.0,4.21,4.08,sandy,977,1,819.4
2004,Western,Beans,1674.3,25.3,0.0,3.12,6.02,clay,1787,0,380.8
2001,Eastern,Tea,795.3,27.9,18.2,2.12,1.06,sandy,1158,0,791.9
2006,Western,Wheat,1759.5,22.4,28.1,3.29,1.98,clay,1629,0,945.2
2021,Eastern,Maize,625.0,18.0,32.8,2.68,1.43,sandy,1320,0,550.5
2009,Western,Beans,1400.8,21.1,47.0,3.01,1.93,loam,1299,0,909.2
2023,Coast,Coffee,1099.6,28.4,54.2,1.85,1.93,sandy,433,0,162.6
2018,Rift Valley,Maize,594.3,22.1,41.5,3.23,4.36,loam,1988,1,2703.1
2003,Central,Wheat,1195.6,18.4,69.5,2.21,1.57,loam,2174,1,4081.7
2008,Eastern,Sorghum,621.3,18.8,29.2,2.12,1.61,clay,1091,0,881.7
2023,North Eastern,Beans,180.3,30.2,25.8,0.61,1.16,sandy,352,0,100.0
2015,Nyanza,Sorghum,1315.4,21.7,22.7,3.54,1.17,loam,1710,0,648.5
2002,Coast,Wheat,1103.4,26.8,28.2,1.73,3.53,sandy,105,0,317.1
2014,North Eastern,Coffee,356.3,36.5,21.6,1.27,0.59,sandy,330,0,100.0
2010,Eastern,Sorghum,624.9,18.9,36.6,1.28,2.41,clay,631,0,877.0
2005,Coast,Beans,730.5,29.0,13.6,5.25,3.08,loam,564,0,317.4
2021,North Eastern,Sorghum,284.7,26.3,33.6,4.59,1.69,sandy,235,0,712.5
2013,Eastern,Sorghum,556.0,26.7,51.8,2.27,2.3,sandy,737,0,825.9
2002,Nyanza,Sorghum,1439.3,24.8,81.0,1.46,1.26,clay,1610,0,640.6
2021,Rift Valley,Maize,467.7,20.0,53.2,3.62,1.02,volcanic,1538,1,2942.1
2023,Eastern,Maize,651.7,22.5,83.1,1.59,2.27,clay,969,0,1233.9
2017,Nyanza,Wheat,1347.9,23.8,27.5,2.84,2.33,loam,1668,0,1174.5
2018,North Eastern,Tea,182.0,27.3,74.7,3.08,1.46,sandy,402,0,228.9
2007,Coast,Tea,706.2,28.3,66.3,1.08,2.84,loam,399,0,1067.2
2023,Coast,Sorghum,768.5,27.0,29.7,1.3,1.06,sandy,121,0,433.2
2013,Eastern,Sorghum,424.4,26.7,58.5,2.75,2.17,sandy,706,1,1031.9
2018,North Eastern,Wheat,359.6,31.9,0.0,5.56,1.66,sandy,400,0,166.6
2016,Central,Coffee,1252.4,13.1,33.0,0.0,3.52,loam,2388,1,680.6
2016,Rift Valley,Coffee,1001.1,20.1,2.0,2.31,0.51,volcanic,2449,1,1297.2
2015,Coast,Beans,1485.2,28.2,22.0,0.5,1.18,loam,152,0,281.1
2004,Nyanza,Maize,1376.2,22.4,19.9,3.04,0.93,clay,1263,1,1854.4
2008,Central,Beans,1286.2,17.5,55.3,3.31,2.23,volcanic,2678,1,1460.1
2023,Nyanza,Beans,1220.8,23.2,63.9,1.34,2.72,clay,1611,0,555.7
2017,Central,Beans,899.1,18.5,41.6,0.31,1.09,volcanic,2956,1,1122.4
2020,Coast,Coffee,1371.9,27.2,61.4,3.41,6.77,loam,229,0,305.3
2023,North Eastern,Sorghum,414.5,30.0,23.6,2.68,0.92,clay,216,0,705.1
2015,Nyanza,Coffee,1711.3,22.0,34.6,1.03,0.99,loam,1365,0,741.2
2004,Nyanza,Coffee,1252.5,20.2,29.7,3.43,3.58,clay,1241,0,727.2
2022,North Eastern,Coffee,161.8,28.5,62.1,2.77,0.93,sandy,204,0,100.0
2001,Eastern,Coffee,379.9,27.1,4.1,3.31,1.07,sandy,1234,0,163.7
2004,Rift Valley,Coffee,699.6,17.5,10.7,1.75,2.67,loam,1741,1,959.2
2011,Western,Maize,1452.4,21.8,2.9,3.23,0.62,loam,1244,0,1561.9
2001,North Eastern,Sorghum,197.8,25.2,52.5,4.73,0.66,clay,462,0,1413.4
2015,Eastern,Coffee,262.4,19.6,46.7,1.39,2.83,clay,946,0,478.2
2001,North Eastern,Beans,249.4,29.6,32.0,0.72,1.02,clay,421,0,159.0
2023,Nyanza,Beans,1339.9,27.0,28.2,2.85,1.6,clay,1206,1,457.4
2004,Central,Coffee,1161.9,17.4,57.4,3.24,1.5,volcanic,2461,1,1614.5
2020,Central,Wheat,1240.7,14.2,47.1,5.86,0.53,volcanic,2155,1,3367.5
2004,North Eastern,Maize,241.0,25.7,53.9,3.57,0.4,sandy,488,0,511.3
2003,Coast,Tea,665.4,27.4,32.6,2.92,0.92,sandy,385,0,609.5
2009,Western,Maize,1678.0,23.7,14.7,0.0,0.91,loam,1483,0,1480.3
2021,Rift Valley,Sorghum,913.2,17.8,55.6,2.41,0.73,volcanic,1998,1,861.9
2000,Central,Maize,1551.0,17.0,44.5,3.54,0.56,volcanic,2029,1,2112.4
2009,North Eastern,Coffee,320.6,29.8,12.1,1.44,1.12,sandy,345,0,100.0
2022,Coast,Coffee,740.8,27.7,21.8,3.54,1.04,loam,481,0,249.0
2007,Central,Wheat,1375.5,17.7,51.4,3.07,4.21,volcanic,2903,1,3929.4
2007,Rift Valley,Wheat,569.6,17.5,68.9,2.87,1.54,volcanic,2394,1,5997.8
2023,Coast,Sorghum,703.0,27.9,23.8,0.83,1.62,loam,106,0,672.7
2022,Western,Wheat,1386.5,20.7,54.0,1.56,1.24,clay,1600,0,1218.6
2002,Western,Coffee,1260.0,23.5,52.9,5.74,1.09,loam,1445,1,1062.2
2002,Coast,Tea,1419.0,28.9,40.6,2.26,1.7,sandy,554,0,617.5
2021,Nyanza,Maize,1543.9,24.5,26.2,1.51,0.9,clay,1630,0,1161.6
2019,Nyanza,Wheat,1532.5,20.1,23.3,0.0,0.5,loam,1472,0,1287.4
2012,Rift Valley,Wheat,1094.4,19.0,28.0,0.16,2.4,loam,1770,1,3022.9
2003,Western,Tea,1694.4,25.5,66.9,2.15,1.88,loam,1882,0,5390.7
2008,Coast,Tea,1244.1,25.5,44.5,4.46,0.44,loam,114,0,1597.8
2022,Coast,Beans,986.3,28.5,35.2,3.03,0.56,loam,278,0,378.0
2001,Coast,Sorghum,1217.5,29.0,27.2,3.15,2.36,sandy,68,0,334.8
2021,Nyanza,Tea,1649.9,21.7,57.3,0.0,0.82,loam,1462,1,6083.0
2004,Eastern,Sorghum,814.5,23.2,0.0,2.2,1.48,sandy,1219,0,451.8
2010,North Eastern,Coffee,431.0,27.1,44.8,0.59,1.36,clay,184,0,137.9
2012,Coast,Sorghum,1426.1,28.4,33.5,4.18,0.61,sandy,259,0,258.3
2018,Rift Valley,Coffee,1012.1,15.0,45.5,1.34,2.91,volcanic,2793,1,894.0
2017,North Eastern,Sorghum,383.7,26.7,32.7,2.27,0.51,clay,239,0,1011.9
2008,Rift Valley,Beans,843.3,21.4,60.4,2.82,1.06,volcanic,2765,1,1635.9
2011,Rift Valley,Tea,1106.5,21.3,18.2,1.88,0.62,volcanic,2577,1,9225.5
2004,Eastern,Beans,414.9,25.9,33.4,3.4,0.92,clay,1129,0,395.1
2001,North Eastern,Sorghum,229.8,29.1,68.4,0.0,3.3,clay,593,0,911.0
2018,Rift Valley,Sorghum,846.4,17.6,23.6,4.24,3.18,volcanic,1897,1,988.1
2008,Nyanza,Wheat,1668.3,21.5,34.7,3.05,0.35,clay,1115,0,800.4
2003,Nyanza,Beans,1056.9,23.2,39.3,2.19,1.23,clay,1344,0,502.5
2009,Rift Valley,Beans,1047.8,20.2,21.3,4.13,0.93,volcanic,1938,1,1481.8
2023,North Eastern,Sorghum,245.4,32.4,34.1,2.13,2.69,clay,538,0,585.3
2021,Eastern,Coffee,654.6,21.5,46.2,0.55,1.85,clay,791,0,396.2
2020,Eastern,Wheat,527.5,23.0,19.1,0.74,1.87,clay,1010,0,740.4
2018,Eastern,Tea,653.3,25.8,68.4,0.0,2.15,clay,780,0,1589.4
2014,Coast,Beans,1513.3,29.0,32.0,1.38,1.25,sandy,134,0,152.7
2017,Central,Coffee,1406.3,17.8,20.6,0.47,1.5,loam,1909,1,976.0
2014,Central,Coffee,1359.6,13.3,52.9,0.85,3.24,loam,2611,1,884.8
2012,Coast,Tea,603.7,29.5,40.0,0.18,1.91,sandy,19,0,532.4
2000,Nyanza,Sorghum,1498.6,21.9,55.7,1.65,3.62,clay,1120,0,461.0
2022,North Eastern,Wheat,216.3,27.1,11.1,1.78,1.27,clay,205,0,321.0
2020,Nyanza,Wheat,1736.5,23.5,33.5,2.9,0.94,loam,1706,1,1497.9
2004,North Eastern,Tea,111.6,36.1,43.1,3.1,1.3,sandy,244,0,163.7
2019,North Eastern,Wheat,243.3,31.7,44.4,2.25,1.34,sandy,571,0,172.8
2005,Central,Wheat,1359.3,18.4,50.8,2.02,1.52,loam,2897,1,2940.4
2007,Eastern,Coffee,563.8,18.0,35.6,3.04,3.8,sandy,973,0,285.6
2016,Coast,Coffee,1190.6,27.8,30.9,2.87,1.88,loam,549,1,403.5
2023,Coast,Sorghum,929.0,25.4,43.8,1.22,2.15,sandy,433,0,534.9
2009,Central,Maize,1162.8,17.6,38.9,4.33,0.34,loam,1675,1,1732.8
2004,Rift Valley,Wheat,1036.4,22.0,28.4,2.86,1.92,loam,2162,1,2939.8
2012,Nyanza,Tea,1248.9,22.7,24.7,0.81,1.68,loam,1453,0,4074.9
2012,Rift Valley,Coffee,563.3,17.4,59.3,4.92,0.57,loam,2019,1,1134.6
2015,Rift Valley,Sorghum,715.4,18.5,38.5,0.01,2.47,loam,1760,1,561.7
2006,Eastern,Coffee,573.3,22.8,42.4,2.73,0.9,sandy,1300,0,267.0
2022,North Eastern,Coffee,212.9,27.8,35.7,0.0,0.83,sandy,246,0,100.0
2020,Nyanza,Coffee,1308.8,21.2,64.7,4.47,0.73,clay,1333,0,766.5
2015,Eastern,Sorghum,658.4,24.6,36.4,2.13,3.06,clay,1201,1,1337.7
2018,Nyanza,Maize,1425.6,21.4,23.4,3.28,1.81,clay,1295,1,1909.5
2010,Coast,Coffee,1224.2,28.6,49.0,2.34,4.68,loam,165,0,258.1
2009,Eastern,Beans,688.5,25.2,23.7,0.75,0.49,clay,1493,1,470.1
2022,North Eastern,Beans,276.2,25.9,46.3,4.55,1.64,sandy,491,0,183.4
2017,Nyanza,Maize,876.6,21.6,36.3,2.33,0.48,clay,1598,0,1671.5
2002,Rift Valley,Coffee,835.8,15.8,62.8,1.24,1.3,loam,1659,1,1065.8
2013,Western,Coffee,1918.2,21.9,41.2,3.01,12.56,loam,1857,0,841.0
2019,Western,Wheat,1416.4,20.4,44.0,4.22,0.66,clay,1906,0,1311.8
2022,Eastern,Wheat,656.4,23.6,27.4,3.4,1.77,clay,686,0,791.9
2015,Rift Valley,Tea,1105.0,17.0,27.6,3.68,2.77,loam,2063,1,9672.2
2018,Western,Wheat,1730.3,17.8,28.8,3.42,1.0,loam,1859,0,1494.4
2014,Central,Wheat,1197.2,15.6,30.1,4.67,0.56,loam,2351,1,3184.6
2022,North Eastern,Beans,227.8,28.4,33.7,2.9,2.23,clay,513,1,223.1
2004,Western,Tea,1574.2,18.7,36.5,4.99,1.37,clay,1935,0,7231.5
2009,Eastern,Coffee,207.1,21.7,55.3,1.88,1.86,clay,562,0,368.1
2019,North Eastern,Coffee,307.5,24.7,46.5,1.92,0.84,clay,445,0,169.0
2003,Eastern,Sorghum,691.8,23.8,45.7,2.04,2.53,clay,1267,0,1076.5
2020,Eastern,Beans,511.2,28.8,51.2,2.06,2.2,sandy,1350,0,211.7
2000,Central,Tea,1233.7,17.9,18.2,4.62,1.26,volcanic,1538,1,14085.0
2023,North Eastern,Coffee,206.0,30.8,22.1,1.89,0.67,clay,341,0,100.0
2018,Central,Sorghum,861.5,20.1,36.8,1.86,0.66,volcanic,2679,1,718.3
2021,Rift Valley,Wheat,598.6,19.3,27.9,3.44,0.73,loam,2268,1,3060.5
2007,North Eastern,Coffee,281.5,31.0,29.2,1.33,1.55,sandy,506,0,100.0
2023,Eastern,Coffee,482.7,24.7,14.2,2.29,2.91,clay,1162,0,240.1
2016,Nyanza,Wheat,1723.4,22.8,37.4,0.2,1.11,loam,1560,0,903.6
2019,Central,Tea,1185.5,15.0,25.4,0.64,0.97,volcanic,2954,1,10660.2
2000,Nyanza,Wheat,1223.2,20.5,47.9,2.32,4.06,clay,1417,0,1433.8
2022,Central,Coffee,1156.1,17.5,32.2,0.0,0.74,volcanic,2288,1,1355.1
2016,Western,Beans,1399.7,22.9,32.0,3.62,3.81,loam,1618,1,642.4
2007,Rift Valley,Beans,827.8,21.3,18.4,3.42,2.04,volcanic,1582,1,1248.4
2017,North Eastern,Maize,194.7,24.9,37.9,4.91,1.22,sandy,409,1,568.0
2006,Coast,Wheat,826.0,25.7,57.0,3.13,1.46,sandy,308,0,513.9
2016,Rift Valley,Tea,1021.8,18.3,46.5,3.22,0.67,volcanic,2474,1,13223.1
2014,Nyanza,Wheat,1457.3,23.2,35.5,2.18,6.45,clay,1139,0,1120.6
2002,Nyanza,Beans,1488.1,23.5,33.5,2.69,3.9,loam,1789,0,676.0
2013,Coast,Wheat,698.7,28.3,32.7,2.77,1.37,sandy,88,0,311.4
2005,Central,Beans,969.8,11.3,23.8,3.94,1.94,loam,1591,1,665.5
2002,North Eastern,Tea,352.1,29.8,37.0,3.22,3.91,sandy,415,0,181.5
2008,Nyanza,Beans,1604.6,25.1,51.0,5.35,4.24,loam,1304,0,676.9
2022,Eastern,Sorghum,384.0,28.0,29.1,0.62,1.0,sandy,621,1,743.7
2004,Nyanza,Coffee,1700.2,21.7,67.8,2.12,1.65,loam,1539,1,1144.6
2023,North Eastern,Beans,335.0,34.4,17.8,2.45,0.93,sandy,544,0,100.0
2001,North Eastern,Coffee,265.9,25.4,30.2,2.07,1.13,sandy,361,1,125.4
2010,North Eastern,Tea,290.7,28.2,30.1,2.61,7.45,clay,192,0,273.8
2010,Rift Valley,Wheat,778.5,22.1,69.0,3.91,1.19,volcanic,2142,1,4162.5
2022,Nyanza,Beans,1040.2,23.9,50.9,0.86,1.22,loam,1638,0,670.4
2000,Rift Valley,Tea,927.6,18.1,42.0,2.22,0.51,loam,2744,1,10992.3
2012,North Eastern,Maize,446.9,27.0,32.8,3.12,1.3,clay,505,0,496.8
2019,North Eastern,Tea,227.0,31.7,24.7,0.0,0.43,clay,388,0,206.0
2000,Western,Beans,1754.7,25.3,47.6,2.97,0.47,clay,1510,0,319.8
2003,North Eastern,Tea,186.5,29.5,5.4,1.91,1.38,clay,189,0,191.3
2011,Nyanza,Wheat,957.6,22.7,22.9,3.24,2.32,loam,1448,0,1401.6
2021,Nyanza,Tea,1545.4,22.4,90.6,2.16,1.15,clay,1564,0,4547.5
2013,Coast,Tea,826.5,27.8,38.8,3.74,0.64,sandy,465,0,645.7
2014,Central,Coffee,1300.8,17.3,46.4,4.28,3.18,volcanic,2495,1,1691.1
2021,Rift Valley,Coffee,1342.9,16.3,33.6,2.45,5.15,volcanic,2018,1,967.2
2013,Nyanza,Coffee,1604.7,23.6,86.7,3.11,1.22,clay,1776,0,632.1
2006,Rift Valley,Wheat,1137.3,21.9,35.2,2.57,0.72,loam,2749,1,3123.6
2006,Coast,Wheat,868.5,29.2,40.8,2.27,6.75,loam,418,0,485.1
2018,Western,Beans,1741.7,24.1,18.4,0.25,1.51,clay,1507,0,363.5
2002,Western,Sorghum,1905.8,21.5,47.1,1.64,0.38,clay,1457,0,208.6
2014,Central,Tea,880.4,17.9,80.5,0.46,1.54,volcanic,1940,1,13849.9
2020,Eastern,Sorghum,865.9,26.3,55.8,2.75,0.93,sandy,1421,1,1034.6
2013,Rift Valley,Maize,984.2,20.7,50.7,0.0,2.71,loam,2673,1,2460.5
2014,Western,Sorghum,2115.6,19.9,40.5,4.62,1.28,loam,1258,0,248.1
2014,Western,Beans,1998.2,22.0,16.2,2.43,0.65,loam,1341,0,459.0
2005,Nyanza,Wheat,1110.5,24.4,61.2,0.0,0.59,loam,1125,1,1414.6
2015,Nyanza,Coffee,1081.0,25.0,18.9,0.92,0.71,loam,1280,1,756.4
2003,Rift Valley,Maize,935.5,17.4,25.8,3.39,3.35,loam,2543,1,2004.2
2008,Eastern,Sorghum,878.5,21.6,23.2,1.6,0.31,sandy,594,0,557.6
2008,North Eastern,Tea,229.7,34.6,29.3,0.0,0.62,clay,220,1,304.1
2008,Central,Coffee,1197.6,14.8,38.9,2.42,1.51,volcanic,1571,1,1255.4
2014,Eastern,Beans,589.4,24.6,57.0,2.29,1.77,sandy,1126,0,315.4
2000,Coast,Tea,788.5,25.3,40.4,1.9,14.36,loam,389,1,1894.2
2010,Eastern,Maize,502.5,28.1,56.1,0.0,0.67,clay,1084,0,826.6
2023,Western,Beans,1123.0,20.3,31.7,5.33,1.99,clay,1789,0,635.5
2017,Central,Maize,1300.9,15.9,0.5,1.76,1.09,loam,1885,1,1076.2
2002,Central,Beans,1009.8,17.6,20.2,1.55,1.54,loam,2962,1,979.7
2022,Eastern,Sorghum,362.3,19.4,71.6,1.58,2.99,sandy,1280,1,779.8
2010,Coast,Coffee,1272.0,28.8,38.6,1.3,1.76,sandy,292,0,164.6
2005,Eastern,Wheat,587.4,23.6,40.4,0.22,2.15,clay,1200,1,1085.3
2018,Western,Beans,1439.1,24.1,33.3,1.89,0.69,loam,1560,0,624.9
2002,Central,Sorghum,1262.9,18.6,39.4,2.84,3.56,loam,2032,1,575.0
2004,Western,Coffee,1460.6,19.3,38.2,6.37,0.77,loam,1502,0,1079.5
2020,Coast,Maize,1324.0,29.9,49.7,4.11,0.73,sandy,231,0,468.1
2000,Rift Valley,Wheat,949.9,22.2,38.1,2.92,2.07,loam,2422,1,3005.8
2003,Rift Valley,Beans,1059.7,20.8,58.5,3.33,0.61,loam,1897,1,1501.6
2018,Western,Tea,1343.4,24.5,20.7,4.94,1.11,loam,1779,0,6201.8
2022,Eastern,Sorghum,735.4,20.8,53.6,4.29,0.39,clay,986,0,1046.3
2016,Central,Tea,1436.7,14.6,73.3,4.78,2.26,loam,2337,1,15709.9
2007,Central,Sorghum,954.5,15.8,47.2,0.71,0.47,volcanic,1907,1,483.5
2022,Central,Beans,977.2,15.7,21.2,1.68,1.16,volcanic,2763,1,1051.5
2004,Rift Valley,Maize,938.5,18.7,38.1,2.77,0.54,volcanic,2204,1,2599.4
2006,North Eastern,Beans,324.0,27.1,42.1,0.5,0.89,clay,586,0,208.3
2005,Coast,Beans,842.2,28.4,48.0,2.7,1.28,loam,95,0,328.0
2018,Nyanza,Tea,1743.8,21.4,71.2,0.2,4.22,clay,1208,0,4569.9
2012,Eastern,Maize,537.6,26.3,24.5,4.55,5.35,sandy,806,0,608.7
2008,North Eastern,Coffee,306.5,34.4,57.6,0.88,3.54,sandy,340,1,100.0
2005,Rift Valley,Coffee,977.8,19.5,36.1,1.37,2.81,volcanic,2556,1,1581.5
2017,Central,Tea,1393.9,17.9,27.1,5.16,0.59,volcanic,2794,1,15735.6
2018,Central,Beans,1579.6,15.1,23.3,3.65,0.46,loam,1900,1,666.2
2012,Rift Valley,Beans,989.0,18.9,66.9,3.06,0.48,loam,1876,1,998.1
2005,Central,Maize,898.8,16.2,4.6,1.44,2.12,volcanic,2357,1,1545.8
2016,North Eastern,Coffee,278.5,27.0,39.6,2.07,1.69,sandy,491,0,100.0
2017,Rift Valley,Coffee,863.4,18.3,63.6,1.56,1.39,volcanic,2068,1,1379.0
2012,Eastern,Wheat,419.6,24.0,42.7,6.88,1.19,clay,874,0,905.5
2016,Western,Tea,1454.6,20.0,27.0,0.66,1.38,clay,1368,0,4834.2
2017,Western,Wheat,1562.5,24.2,49.3,0.75,1.22,loam,1755,0,1251.3
2005,Nyanza,Beans,1508.1,24.0,45.8,1.74,0.94,loam,1713,0,559.5
2018,Nyanza,Coffee,1217.5,24.2,48.2,3.04,1.43,clay,1231,1,731.8
2008,North Eastern,Tea,275.4,33.6,46.8,2.41,0.89,clay,505,0,241.0
2014,Rift Valley,Sorghum,1198.5,18.5,17.0,2.13,0.81,loam,1602,1,630.4
2016,Coast,Wheat,929.2,27.2,29.3,2.94,0.47,loam,118,0,739.1
2009,North Eastern,Tea,262.3,30.2,43.9,6.09,0.31,sandy,302,0,212.2
2001,Western,Tea,1810.2,20.7,31.1,0.0,0.98,loam,1681,0,4746.2
2011,Rift Valley,Beans,1031.6,18.2,71.9,4.7,0.72,loam,2130,1,1336.8
2020,Central,Tea,952.5,17.2,66.6,2.97,0.88,loam,2722,1,13964.8
2019,Rift Valley,Sorghum,1056.3,19.1,60.9,2.2,1.76,loam,1842,1,829.4
2012,Rift Valley,Wheat,1002.7,17.9,16.6,0.0,1.32,volcanic,1515,1,4097.3
2002,North Eastern,Sorghum,252.6,30.5,20.7,2.19,2.07,clay,456,0,735.6
2020,Western,Sorghum,1515.0,25.9,15.5,2.7,1.33,loam,1493,1,522.0
2023,Nyanza,Tea,992.0,22.6,20.8,2.42,2.18,loam,1468,0,5179.1
2019,Western,Coffee,1552.7,21.7,35.5,1.56,1.57,loam,1327,0,708.3
2016,Nyanza,Beans,1644.4,19.2,23.4,0.31,0.98,clay,1457,0,501.8
2000,Central,Tea,1117.1,15.0,51.0,5.2,0.54,volcanic,2400,1,12617.5
2012,Nyanza,Maize,868.4,24.3,26.6,0.86,0.62,loam,1310,0,1602.5
2003,Rift Valley,Maize,1058.2,17.2,68.1,0.4,2.04,volcanic,2785,1,2925.3
2007,Coast,Wheat,1184.0,27.9,56.6,1.14,0.39,sandy,584,0,328.4
2007,Coast,Beans,1510.0,30.1,43.8,3.91,0.66,loam,146,0,282.1
2020,Western,Tea,1507.8,23.6,62.4,2.92,1.06,loam,1250,0,6264.0
2020,Nyanza,Tea,1635.0,22.5,28.0,4.63,4.56,loam,1251,0,5899.1
2010,Nyanza,Wheat,861.5,25.8,67.2,0.45,3.88,clay,1270,0,1159.7
2013,Eastern,Maize,496.2,20.3,63.5,1.62,0.63,clay,990,0,1085.3
2014,Western,Wheat,1794.8,21.9,31.6,0.0,0.64,clay,1762,0,880.6
2002,Central,Wheat,956.6,19.7,27.9,3.87,4.06,loam,2725,1,3364.4
2017,Western,Coffee,1409.0,23.8,25.8,3.47,1.03,clay,1555,0,423.8
2009,Western,Tea,1381.1,19.2,58.5,5.36,0.51,clay,1534,0,7946.3
2007,Rift Valley,Beans,980.1,19.5,30.3,2.46,0.82,loam,2302,1,1130.2
2012,Western,Maize,1634.9,22.1,56.3,1.23,0.4,clay,1540,0,1418.5
2014,Coast,Sorghum,699.8,26.3,15.9,1.17,0.18,loam,167,0,765.9
2006,Nyanza,Maize,1491.8,22.5,16.2,5.42,0.79,loam,1445,0,1872.3
2021,Central,Beans,1428.2,14.3,48.0,1.48,1.04,volcanic,1602,1,953.6
2008,Coast,Wheat,788.3,27.5,10.3,2.63,3.23,sandy,592,0,343.5
2014,North Eastern,Tea,289.1,25.7,58.4,1.5,5.01,clay,592,0,401.5
2016,Coast,Maize,1330.5,29.0,7.9,3.09,2.86,loam,52,1,802.4
2018,Eastern,Wheat,678.3,24.8,66.3,2.48,0.74,sandy,1435,0,613.3
2016,Eastern,Coffee,781.0,26.9,50.4,1.76,2.28,clay,907,1,330.4
2007,Coast,Tea,448.1,25.5,41.1,1.11,0.17,loam,121,0,1484.7
2017,Coast,Coffee,1030.9,27.1,20.5,2.44,2.01,loam,573,0,287.8
2002,Nyanza,Beans,1420.5,24.6,5.2,2.63,1.29,loam,1228,0,587.3
2023,Eastern,Tea,600.6,23.2,36.9,0.68,4.11,sandy,748,1,1493.0
2004,Coast,Tea,1786.2,25.8,69.3,4.0,1.64,loam,121,1,2450.6
2005,Eastern,Coffee,694.9,25.5,17.4,6.17,0.51,clay,863,0,401.2
2010,Eastern,Coffee,318.3,27.5,38.4,1.95,1.54,sandy,741,0,207.8
2023,Nyanza,Sorghum,1713.3,29.9,42.3,0.53,0.9,clay,1115,0,220.3
2018,Nyanza,Sorghum,1515.9,22.6,75.1,4.86,0.97,clay,1611,0,538.3
2018,Western,Wheat,1467.4,20.8,34.5,0.0,0.47,clay,1239,1,1446.2
2017,North Eastern,Maize,241.0,30.5,35.8,2.88,2.17,clay,241,0,353.3
2006,Nyanza,Coffee,1904.8,22.3,90.1,2.54,0.69,loam,1699,0,834.9
2022,North Eastern,Coffee,297.1,26.3,43.5,3.08,0.73,sandy,515,0,102.5
2016,Rift Valley,Tea,961.3,19.0,79.5,1.31,1.5,loam,2754,1,10668.6
2022,North Eastern,Beans,283.4,37.9,63.1,4.24,1.83,clay,435,0,149.7
2000,Western,Tea,1787.6,21.9,32.2,2.8,2.2,loam,1577,1,7217.9
2018,Coast,Tea,482.3,26.6,63.9,1.03,0.98,sandy,52,0,732.5
2004,Coast,Maize,836.1,28.8,10.4,2.78,1.34,sandy,366,0,463.2
2019,Western,Beans,1393.7,22.1,41.6,4.82,1.77,clay,1417,0,465.0
2010,Coast,Wheat,737.0,29.3,32.3,0.0,3.06,sandy,8,0,257.1
2012,Central,Sorghum,1301.7,16.1,10.3,2.19,3.14,volcanic,2694,1,364.4
2008,Central,Maize,958.3,17.8,17.7,3.15,1.18,volcanic,2200,1,1752.2
2017,Rift Valley,Beans,851.5,15.2,30.9,0.94,0.88,loam,2341,1,814.5
2016,Western,Beans,1649.5,17.9,20.5,3.96,1.85,loam,1288,0,729.8
2020,Nyanza,Tea,960.6,25.3,50.2,3.69,3.33,loam,1586,0,4200.7
2017,North Eastern,Wheat,336.7,30.7,59.1,2.93,0.88,clay,206,0,319.7
2007,Rift Valley,Wheat,1145.5,16.6,73.5,3.13,0.82,loam,2641,1,3778.2
2016,Central,Maize,1033.6,14.8,17.3,3.11,0.94,loam,2300,1,901.7
2004,Eastern,Maize,781.7,25.8,67.2,2.6,2.31,sandy,1500,0,832.3
2008,Rift Valley,Wheat,835.3,18.5,58.4,2.31,2.76,volcanic,1846,1,5306.7
2001,Eastern,Coffee,427.8,28.5,67.1,1.8,0.87,sandy,798,0,152.0
2016,Nyanza,Sorghum,1236.7,20.8,23.9,2.84,0.55,loam,1714,0,627.2
2003,Rift Valley,Sorghum,726.4,20.1,55.0,1.6,0.47,loam,2480,1,1018.8
2023,Coast,Coffee,970.6,29.6,73.4,2.88,2.14,loam,14,1,381.0
2005,Coast,Tea,718.0,29.0,74.3,2.35,1.7,loam,363,0,1233.5
2001,Western,Maize,1325.9,19.1,71.9,1.23,0.67,clay,1257,0,1115.9
2020,Central,Maize,1374.8,17.2,43.7,1.25,0.41,volcanic,2248,1,1710.1
2004,Coast,Tea,918.1,29.9,18.0,1.57,0.47,loam,423,0,789.1
2012,North Eastern,Coffee,314.4,27.6,15.7,1.25,1.97,clay,330,0,127.0
2014,Coast,Beans,913.8,28.6,39.1,1.86,0.91,loam,233,0,341.3
